day,month_of_year,continuous_month,Creator,time_to_collection,quantity_monthly,collect_scheduled_month,postal_code,is_peak_season,dependents_qty,month,longitude,week_of_year,timestamp,client_list,latitude,quantity_weekly,quantity_daily,marker_cluster,quantity
27,7,7,0.001023788,179,3,7,T5K 1A4,1,1,7,-113.5103,30,2023-07-27 00:00:00,0.008973201,53.5366,327,2497,511,327
26,8,8,0.001023788,149,7,8,T5K 1A4,1,1,8,-113.5103,34,2023-08-26 00:00:00,0.008973201,53.5366,263,2187,511,263
25,9,9,0.001023788,119,20,9,T5K 1A4,0,1,9,-113.5103,39,2023-09-25 00:00:00,0.008973201,53.5366,308,2834,511,308
25,10,10,0.001023788,89,34,10,T5K 1A4,0,1,10,-113.5103,43,2023-10-25 00:00:00,0.008973201,53.5366,330,2249,511,330
24,11,11,0.001023788,59,592,11,T5K 1A4,0,1,11,-113.5103,47,2023-11-24 00:00:00,0.008973201,53.5366,392,2364,511,392
24,12,12,0.001023788,29,720,12,T5K 1A4,0,1,12,-113.5103,51,2023-12-24 00:00:00,0.008973201,53.5366,404,2038,511,404
23,13,13,0.001023788,-1,824,1,T5K 1A4,0,1,1,-113.5103,4,2024-01-23 00:00:00,0.008973201,53.5366,311,2438,511,311
27,7,7,0.00192713,0,3,7,T5K 1A4,1,1,7,-113.5103,30,2023-07-27 03:00:00,0.008973201,53.5366,327,2497,511,327
26,8,8,0.00192713,-30,7,8,T5K 1A4,1,1,8,-113.5103,34,2023-08-26 03:00:00,0.008973201,53.5366,263,2187,511,263
1,8,8,0.001023788,0,7,8,T5K 1A4,1,1,8,-113.5103,31,2023-08-01 00:00:00,0.008973201,53.5366,398,2438,511,398
31,8,8,0.001023788,-30,7,8,T5K 1A4,1,1,8,-113.5103,35,2023-08-31 00:00:00,0.008973201,53.5366,260,2497,511,260
30,9,9,0.001023788,-60,20,9,T5K 1A4,0,1,9,-113.5103,39,2023-09-30 00:00:00,0.008973201,53.5366,308,2187,511,308
30,10,10,0.001023788,-90,34,10,T5K 1A4,0,1,10,-113.5103,44,2023-10-30 00:00:00,0.008973201,53.5366,285,2834,511,285
22,8,8,6.02e-05,0,7,8,T5H 2Z8,1,1,8,-113.4916,34,2023-08-22 00:00:00,0.000903342,53.5514,263,2438,44,263
23,8,8,0.001023788,0,7,8,T5K 1A4,1,1,8,-113.5103,34,2023-08-23 00:00:00,0.008973201,53.5366,263,2249,511,263
22,9,9,0.001023788,-11,20,9,T5K 1A4,0,1,9,-113.5103,38,2023-09-22 00:00:00,0.008973201,53.5366,271,2364,511,271
22,10,10,0.001023788,-41,34,10,T5K 1A4,0,1,10,-113.5103,42,2023-10-22 00:00:00,0.008973201,53.5366,268,2038,511,268
21,11,11,0.001023788,-71,592,11,T5K 1A4,0,1,11,-113.5103,47,2023-11-21 00:00:00,0.008973201,53.5366,392,2438,511,392
21,12,12,0.001023788,-101,720,12,T5K 1A4,0,1,12,-113.5103,51,2023-12-21 00:00:00,0.008973201,53.5366,404,2497,511,404
7,9,9,0.041975309,0,20,9,T5C 1E8,0,6,9,-113.4549,36,2023-09-07 03:00:00,0.000963565,53.5996,445,2497,47,445
7,10,10,0.041975309,-30,34,10,T5C 1E8,0,6,10,-113.4549,40,2023-10-07 03:00:00,0.000963565,53.5996,368,2187,47,368
7,11,11,0.041975309,0,592,11,T5C 1E8,0,6,11,-113.4549,45,2023-11-07 04:00:00,0.000963565,53.5996,468,2438,47,468
11,9,9,0.440650407,57,20,9,T5K 1A4,0,1,9,-113.5103,37,2023-09-11 03:00:00,0.008973201,53.5366,227,2834,511,227
12,9,9,0.00192713,0,20,9,T6W 0G6,0,5,9,-113.5785,37,2023-09-12 03:00:00,0.00084312,53.4179,227,2438,48,227
13,9,9,0.041975309,0,20,9,T5Z 0N8,0,2,9,-113.4673,37,2023-09-13 03:00:00,0.000722674,53.6365,227,2249,49,227
13,10,10,0.041975309,5,34,10,T5Z 0N8,0,2,10,-113.4673,41,2023-10-13 03:00:00,0.000722674,53.6365,247,2364,49,247
13,11,11,0.041975309,-26,592,11,T5Z 0N8,0,2,11,-113.4673,46,2023-11-13 04:00:00,0.000722674,53.6365,327,2834,49,327
13,12,12,0.041975309,-56,720,12,T5Z 0N8,0,2,12,-113.4673,50,2023-12-13 04:00:00,0.000722674,53.6365,360,2249,49,360
13,13,13,0.041975309,-87,824,1,T5Z 0N8,0,2,1,-113.4673,2,2024-01-13 04:00:00,0.000722674,53.6365,368,2187,49,368
13,14,14,0.041975309,-118,855,2,T5Z 0N8,0,2,2,-113.4673,7,2024-02-13 04:00:00,0.000722674,53.6365,250,2438,49,250
13,15,15,0.041975309,-147,947,3,T5Z 0N8,0,2,3,-113.4673,11,2024-03-13 03:00:00,0.000722674,53.6365,256,2249,49,256
13,16,16,0.041975309,-178,935,4,T5Z 0N8,0,2,4,-113.4673,15,2024-04-13 03:00:00,0.000722674,53.6365,276,2187,49,276
13,17,17,0.041975309,-208,1150,5,T5Z 0N8,0,2,5,-113.4673,20,2024-05-13 03:00:00,0.000722674,53.6365,260,2834,49,260
13,18,18,0.041975309,-239,1503,6,T5Z 0N8,1,2,6,-113.4673,24,2024-06-13 03:00:00,0.000722674,53.6365,349,2497,49,349
13,19,19,0.041975309,-269,1434,7,T5Z 0N8,1,2,7,-113.4673,28,2024-07-13 03:00:00,0.000722674,53.6365,250,2187,49,250
13,20,20,0.041975309,-300,1298,8,T5Z 0N8,1,2,8,-113.4673,33,2024-08-13 03:00:00,0.000722674,53.6365,234,2438,49,234
14,9,9,0.041975309,34,20,9,T5Y 2Z7,0,3,9,-113.3614,37,2023-09-14 03:00:00,0.000662451,53.6585,227,2497,50,227
14,10,10,0.041975309,4,34,10,T5Y 2Z7,0,3,10,-113.3614,41,2023-10-14 03:00:00,0.000662451,53.6585,247,2187,50,247
14,11,11,0.041975309,0,592,11,T5Y 2Z7,0,3,11,-113.3614,46,2023-11-14 04:00:00,0.000662451,53.6585,327,2438,50,327
14,12,12,0.041975309,0,720,12,T5Y 2Z7,0,3,12,-113.3614,50,2023-12-14 04:00:00,0.000662451,53.6585,360,2497,50,360
14,14,14,0.041975309,6,855,2,T5Y 2Z7,0,3,2,-113.3614,7,2024-02-14 04:00:00,0.000662451,53.6585,250,2249,50,250
14,15,15,0.041975309,11,947,3,T5Y 2Z7,0,3,3,-113.3614,11,2024-03-14 03:00:00,0.000662451,53.6585,256,2497,50,256
14,9,9,0.041975309,35,20,9,T5X 3R3,0,5,9,-113.5245,37,2023-09-14 03:00:00,0.001023788,53.6313,227,2497,51,227
14,10,10,0.041975309,5,34,10,T5X 3R3,0,5,10,-113.5245,41,2023-10-14 03:00:00,0.001023788,53.6313,247,2187,51,247
14,9,9,0.041975309,35,20,9,T5Z 0L4,0,1,9,-113.4673,37,2023-09-14 03:00:00,0.000722674,53.6365,227,2497,52,227
14,10,10,0.041975309,4,34,10,T5Z 0L4,0,1,10,-113.4673,41,2023-10-14 03:00:00,0.000722674,53.6365,247,2187,52,247
14,11,11,0.041975309,-27,592,11,T5Z 0L4,0,1,11,-113.4673,46,2023-11-14 04:00:00,0.000722674,53.6365,327,2438,52,327
14,12,12,0.041975309,-57,720,12,T5Z 0L4,0,1,12,-113.4673,50,2023-12-14 04:00:00,0.000722674,53.6365,360,2497,52,360
14,13,13,0.041975309,-88,824,1,T5Z 0L4,0,1,1,-113.4673,2,2024-01-14 04:00:00,0.000722674,53.6365,368,2038,52,368
14,14,14,0.041975309,-119,855,2,T5Z 0L4,0,1,2,-113.4673,7,2024-02-14 04:00:00,0.000722674,53.6365,250,2249,52,250
14,15,15,0.041975309,-148,947,3,T5Z 0L4,0,1,3,-113.4673,11,2024-03-14 03:00:00,0.000722674,53.6365,256,2497,52,256
14,16,16,0.041975309,-179,935,4,T5Z 0L4,0,1,4,-113.4673,15,2024-04-14 03:00:00,0.000722674,53.6365,276,2038,52,276
14,17,17,0.041975309,0,1150,5,T5Z 0L4,0,1,5,-113.4673,20,2024-05-14 03:00:00,0.000722674,53.6365,260,2438,52,260
14,18,18,0.041975309,-31,1503,6,T5Z 0L4,1,1,6,-113.4673,24,2024-06-14 03:00:00,0.000722674,53.6365,349,2364,52,349
14,19,19,0.041975309,-61,1434,7,T5Z 0L4,1,1,7,-113.4673,28,2024-07-14 03:00:00,0.000722674,53.6365,250,2038,52,250
14,20,20,0.041975309,-92,1298,8,T5Z 0L4,1,1,8,-113.4673,33,2024-08-14 03:00:00,0.000722674,53.6365,234,2249,52,234
14,9,9,0.041975309,33,20,9,T5E 2T2,0,6,9,-113.4465,37,2023-09-14 03:00:00,0.000963565,53.7454,227,2497,53,227
14,10,10,0.041975309,3,34,10,T5E 2T2,0,6,10,-113.4465,41,2023-10-14 03:00:00,0.000963565,53.7454,247,2187,53,247
14,9,9,0.041975309,33,20,9,T5E 2W3,0,6,9,-113.4465,37,2023-09-14 03:00:00,0.000963565,53.7454,227,2497,54,227
14,10,10,0.041975309,3,34,10,T5E 2W3,0,6,10,-113.4465,41,2023-10-14 03:00:00,0.000963565,53.7454,247,2187,54,247
18,11,11,0.041975309,3,592,11,T5X 3R3,0,9,11,-113.5245,46,2023-11-18 04:00:00,0.000481783,53.6313,327,2187,55,327
18,12,12,0.041975309,0,720,12,T5X 3R3,0,9,12,-113.5245,51,2023-12-18 04:00:00,0.000481783,53.6313,404,2834,55,404
25,9,9,0.041975309,0,20,9,T5X 2J3,0,1,9,-113.5245,39,2023-09-25 03:00:00,0.001686239,53.6313,308,2834,55,308
25,10,10,0.041975309,5,34,10,T5X 2J3,0,1,10,-113.5245,43,2023-10-25 03:00:00,0.001686239,53.6313,330,2249,55,330
25,9,9,0.041975309,0,20,9,T5X 2P9,0,4,9,-113.5245,39,2023-09-25 03:00:00,0.001144234,53.6313,308,2834,55,308
25,9,9,0.041975309,0,20,9,T5X 2J3,0,6,9,-113.5245,39,2023-09-25 03:00:00,0.001023788,53.6313,308,2834,49,308
25,9,9,0.041975309,0,20,9,T5E 2W4,0,5,9,-113.4465,39,2023-09-25 03:00:00,0.001084011,53.7454,308,2834,57,308
25,10,10,0.041975309,0,34,10,T5E 2W4,0,5,10,-113.4465,43,2023-10-25 03:00:00,0.001084011,53.7454,330,2249,57,330
27,9,9,0.041975309,0,20,9,T5E 3M6,0,1,9,-113.4465,39,2023-09-27 03:00:00,0.001084011,53.7454,308,2249,58,308
27,10,10,0.041975309,-30,34,10,T5E 3M6,0,1,10,-113.4465,43,2023-10-27 03:00:00,0.001084011,53.7454,330,2364,58,330
27,11,11,0.041975309,0,592,11,T5E 3M6,0,1,11,-113.4465,48,2023-11-27 04:00:00,0.001084011,53.7454,470,2834,58,470
27,9,9,0.041975309,0,20,9,T5B 4K1,0,3,9,-113.3369,39,2023-09-27 03:00:00,0.000903342,53.7353,308,2249,60,308
27,10,10,0.041975309,-30,34,10,T5B 4K1,0,3,10,-113.3369,43,2023-10-27 03:00:00,0.000903342,53.7353,330,2364,60,330
27,11,11,0.041975309,0,592,11,T5B 4K1,0,3,11,-113.3369,48,2023-11-27 04:00:00,0.000903342,53.7353,470,2834,60,470
27,9,9,0.041975309,0,20,9,T5H 2X8,0,2,9,-113.4916,39,2023-09-27 03:00:00,0.001023788,53.5514,308,2249,61,308
